distance_ground_m,rsrp_dbm,elevation_geom_deg,antenna_corr_db,rsrp_corrected_dbm
930.1162484585128,-107.6,-7.108971195366953,0.0,-107.6
937.8668632439956,-108.8,-7.050815779944781,0.0,-108.8
949.3058780249013,-111.0,-6.966807234680852,0.0,-111.0
960.8579741365006,-111.9,-6.883744405234971,0.0,-111.9
968.639216241098,-115.6,-6.82897042613111,0.0,-115.6
980.2093741875531,-117.2,-6.7492102190943175,0.0,-117.2
991.5473289249004,-119.2,-6.672637272998879,0.0,-119.2
999.1502759902236,-118.2,-6.6223151194424,0.0,-118.2
1010.4540594637067,-116.9,-6.548968484013325,0.0,-116.9
1021.7953377815865,-114.9,-6.476812174168056,0.0,-114.9
1029.6300412370426,-115.9,-6.427942600685939,0.0,-115.9
1037.5033460926409,-115.3,-6.379566538895107,0.0,-115.3
1049.3079053138335,-114.1,-6.308465340527374,0.0,-114.1
1061.133094855473,-115.0,-6.238636510639007,0.0,-115.0
1069.0517228283368,-114.4,-6.192786364089401,0.0,-114.4
1077.1256520735294,-113.3,-6.146723088925919,0.0,-113.3
1089.0279487095495,-113.0,-6.080130440884394,0.0,-113.0
1100.92025305837,-113.2,-6.014856212764936,0.0,-113.2
1108.999171127935,-114.0,-5.971356499252601,0.0,-114.0
1120.7121112777945,-113.5,-5.90946663603165,0.0,-113.5
1132.449842920298,-113.7,-5.848568303885666,0.0,-113.7
1140.356406452296,-113.4,-5.808295959197901,0.0,-113.4
1148.3012561307244,-113.9,-5.768381541338595,0.0,-113.9
1159.9188712670834,-113.8,-5.71105392752208,0.0,-113.8
1171.4771995555666,-114.1,-5.655009707346627,0.0,-114.1
1179.3547530285234,-114.2,-5.6174792149970925,0.0,-114.2
1190.6200804835098,-114.25,-5.5647176789565584,0.0,-114.25
1201.9588132711276,-114.7,-5.512493687522508,0.0,-114.7
1209.53869556782,-115.0,-5.478159048031805,0.0,-115.0
1220.902889026929,-116.85,-5.427523205631157,0.0,-116.85
1232.2955687490182,-125.9,-5.377592166135906,0.0,-125.9
1239.777203978524,-131.2,-5.34532875902373,0.0,-131.2
1247.4922953414632,-127.7,-5.31246040343964,0.0,-127.7
1259.0846085247902,-120.15,-5.263872815176979,0.0,-120.15
1270.588297726698,-122.3,-5.216431271901425,0.0,-122.3
1278.3148339999848,-124.9,-5.185073904257376,0.0,-124.9
1289.978377167139,-127.1,-5.138491727989824,0.0,-127.1
1301.9179383850153,-118.8,-5.091569804225456,0.0,-118.8
