timestamp,rsrp_dbm,snr,plmn,latitude,longitude,distance_m
2026-04-20T14:38:54.256633,-67.0,"35,5 dB",99970,57.01403860,9.98800910,31.06
2026-04-20T14:38:55.376644,-75.0,"32,5 dB",99970,57.01405740,9.98801830,32.64
2026-04-20T14:38:56.496275,-72.0,"32,5 dB",99970,57.01406010,9.98802089,32.93
2026-04-20T14:38:57.616512,-80.0,"20,0 dB",99970,57.01410836,9.98798368,34.51
2026-04-20T14:38:58.736947,-81.0,"24,5 dB",99970,57.01413070,9.98795696,35.15
2026-04-20T14:38:59.856372,-80.0,"28,5 dB",99970,57.01417750,9.98787530,36.41
2026-04-20T14:39:00.944280,-80.0,"27,5 dB",99970,57.01419700,9.98784080,37.32
2026-04-20T14:39:02.064731,-79.0,"27,0 dB",99970,57.01419779,9.98784155,37.42
2026-04-20T14:39:03.182153,-81.0,"27,0 dB",99970,57.01421271,9.98781198,38.19
2026-04-20T14:39:04.304317,-78.0,"26,0 dB",99970,57.01424260,9.98775240,40.12
2026-04-20T14:39:05.424523,-85.0,"23,5 dB",99970,57.01423766,9.98775284,39.60
2026-04-20T14:39:06.512720,-86.0,"25,0 dB",99970,57.01427190,9.98764450,42.05
2026-04-20T14:39:07.632910,-88.0,"19,5 dB",99970,57.01427142,9.98764507,42.01
2026-04-20T14:39:08.752029,-91.0,"14,0 dB",99970,57.01428070,9.98756910,42.78
2026-04-20T14:39:09.872696,-90.0,"15,0 dB",99970,57.01428320,9.98752890,43.12
2026-04-20T14:39:10.992945,-93.0,"18,0 dB",99970,57.01428546,9.98753159,43.36
2026-04-20T14:39:12.112833,-96.0,"8,5 dB",99970,57.01428065,9.98749631,42.99
2026-04-20T14:39:13.233066,-97.0,"7,0 dB",99970,57.01429060,9.98740940,44.92
2026-04-20T14:39:14.352787,-97.0,"12,0 dB",99970,57.01428718,9.98741525,44.47
2026-04-20T14:39:15.472720,-94.0,"10,5 dB",99970,57.01429280,9.98733720,46.28
2026-04-20T14:39:16.592054,-99.0,"7,0 dB",99970,57.01429380,9.98729892,47.14
2026-04-20T14:39:17.713085,-97.0,"7,5 dB",99970,57.01430000,9.98716660,51.07
2026-04-20T14:39:18.833086,-99.0,"7,5 dB",99970,57.01430150,9.98709340,53.47
2026-04-20T14:39:19.921334,-101.0,"3,5 dB",99970,57.01430206,9.98710152,53.26
2026-04-20T14:39:21.040956,-98.0,"6,0 dB",99970,57.01430480,9.98695340,58.74
2026-04-20T14:39:22.160974,-101.0,"0,0 dB",99970,57.01430780,9.98688610,61.65
2026-04-20T14:39:23.281028,-103.0,"3,0 dB",99970,57.01430909,9.98688506,61.80
2026-04-20T14:39:24.401326,-105.0,"1,5 dB",99970,57.01431090,9.98674080,68.09
2026-04-20T14:39:25.520190,-104.0,"1,5 dB",99970,57.01431124,9.98666860,71.39
2026-04-20T14:39:26.640849,-108.0,"-2,0 dB",99970,57.01430280,9.98649830,78.99
2026-04-20T14:39:27.760972,-108.0,"-4,0 dB",99970,57.01430290,9.98640580,83.65
2026-04-20T14:39:28.881726,-110.0,"-3,0 dB",99970,57.01430246,9.98639780,84.03
2026-04-20T14:39:30.001247,-111.0,"-4,0 dB",99970,57.01430080,9.98622520,92.92
2026-04-20T14:39:31.088829,-112.0,"-2,5 dB",99970,57.01429950,9.98613390,97.73
2026-04-20T14:39:32.209264,-112.0,"-5,0 dB",99970,57.01430111,9.98612985,98.03
2026-04-20T14:39:33.328519,-116.0,"-2,5 dB",99970,57.01429910,9.98595630,107.37
2026-04-20T14:39:34.448922,-111.0,"-5,0 dB",99970,57.01430120,9.98587780,111.80
2026-04-20T14:39:35.535617,-113.0,"-7,5 dB",99970,57.01431110,9.98575270,119.19
2026-04-20T14:39:36.657092,-113.0,"-7,0 dB",99970,57.01431180,9.98569420,122.50
2026-04-20T14:39:37.777067,-115.0,"-11,0 dB",99970,57.01431281,9.98569978,122.23
2026-04-20T14:39:38.895907,-114.0,"-6,0 dB",99970,57.01432140,9.98557600,129.54
2026-04-20T14:39:40.017161,-111.0,"-2,5 dB",99970,57.01432950,9.98550560,133.84
2026-04-20T14:39:41.104943,-109.0,"-4,5 dB",99970,57.01433084,9.98550239,134.07
